input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,49627,7,5.216515839683687,52,34,0.1,32707,11,1.5173204512795426
520,341,54931,9,5.533405806288786,104,68,0.2,38438,13,1.4290805973255631
520,341,63771,11,5.864089294965753,156,102,0.30000000000000004,47256,17,1.3494794311833418
520,341,76147,14,6.1060600847376865,208,136,0.4,58722,21,1.2967371683525766
520,341,92059,18,6.27246239296733,260,170,0.5,72753,27,1.2653636276167306
520,341,111507,22,6.388595707037356,312,204,0.6000000000000001,89716,33,1.2428886709171163
520,341,134491,27,6.463467416587123,364,238,0.7000000000000001,109474,40,1.2285200138845753
520,341,161011,34,6.506348556793883,416,272,0.8,131924,50,1.2204830053667264
520,341,191067,42,6.530519281827371,468,306,0.9,157081,65,1.2163597125050134
520,341,225179,47,6.5122732983052325,520,341,1.0,184553,69,1.2201318862332229
520,341,757139,170,6.4999073221852814,1040,682,2,618546,236,1.2240625596156147
520,341,1643739,368,6.460214025387321,1560,1023,3,1333514,512,1.2326372276556528
520,341,2884979,645,6.448797154569084,2080,1364,4,2336180,883,1.2349129775959045
520,341,4480859,1008,6.435136147860306,2600,1705,5,3620216,1373,1.23773249993923
520,341,49623,6,5.220382109382158,52,34,0.1,32703,10,1.5173837262636456
520,341,54927,9,5.547603644485126,104,68,0.2,38553,13,1.424714030036573
520,341,63767,11,5.855733995791527,156,102,0.30000000000000004,47228,16,1.350194799695096
520,341,76143,14,6.099939180895832,208,136,0.4,58685,21,1.2974865808980147
520,341,92055,18,6.262385078483925,260,170,0.5,72713,26,1.2660047034230468
520,341,111503,21,6.3665778526830135,312,204,0.6000000000000001,89502,32,1.2458157359612076
520,341,134487,28,6.440538780941063,364,238,0.7000000000000001,109244,40,1.2310698985756654
520,341,161007,33,6.485719756367342,416,272,0.8,131478,48,1.2245927075252134
520,341,191063,40,6.503530693870022,468,306,0.9,156265,57,1.2226858221610726
520,341,225175,43,6.494054244740043,520,341,1.0,183914,66,1.224349424187392
520,341,757135,164,6.476756708782154,1040,682,2,616228,230,1.2286604957905192
520,341,1643735,373,6.436313801915162,1560,1023,3,1329739,504,1.2361335570363807
520,341,2884975,645,6.421845056411932,2080,1364,4,2328931,884,1.2387550339619335
520,341,4480855,996,6.408808732330016,2600,1705,5,3609914,1369,1.2412636422917553
520,341,20376,2,5.448433681608851,52,34,0.1,14097,4,1.4454139178548628
520,341,25680,3,5.922048366865694,104,68,0.2,19328,6,1.3286423841059603
520,341,34520,5,6.231991479673421,156,102,0.30000000000000004,27273,9,1.265720676126572
520,341,46896,7,6.3796654276827205,208,136,0.4,37812,12,1.2402411932719772
520,341,62808,11,6.4669720517369305,260,170,0.5,51313,17,1.224017305556097
520,341,82256,15,6.497643943538383,312,204,0.6000000000000001,67424,23,1.2199810156620787
520,341,105240,20,6.504404488089118,364,238,0.7000000000000001,86323,30,1.2191420594743
520,341,131760,25,6.507607089310878,416,272,0.8,108054,38,1.2193903048475763
520,341,161816,31,6.499482883594329,468,306,0.9,132495,48,1.221298916940262
520,341,195928,36,6.459794058206149,520,341,1.0,159259,56,1.2302475841239742
520,341,727888,155,6.433157105214469,1040,682,2,588785,218,1.2362543203376444
520,341,1614488,344,6.4068826277953175,1560,1023,3,1300165,486,1.2417562386312506
520,341,2855728,623,6.40089020738544,2080,1364,4,2297317,867,1.243070938838654
520,341,4451608,978,6.393407924603641,2600,1705,5,3576579,1354,1.244655297702078
520,341,20376,2,5.471338280150295,52,34,0.1,14163,4,1.4386782461342935
520,341,25680,3,5.9820428970228,104,68,0.2,19532,6,1.3147655130043006
520,341,34520,5,6.32205126682665,156,102,0.30000000000000004,27683,9,1.246974677599971
520,341,46896,8,6.498729902587618,208,136,0.4,38543,13,1.216718989180915
520,341,62808,10,6.5761662859964805,260,170,0.5,52136,18,1.2046954119993862
520,341,82256,15,6.646514386420693,312,204,0.6000000000000001,68917,24,1.1935516635953394
520,341,105240,19,6.66099697189313,364,238,0.7000000000000001,88329,31,1.1914546751350066
520,341,131760,25,6.663136904049338,416,272,0.8,110525,39,1.1921284777199728
520,341,161816,31,6.66466049077152,468,306,0.9,135668,49,1.1927352065335968
520,341,195928,37,6.6282424426140025,520,341,1.0,163241,58,1.2002376853854118
520,341,727888,151,6.612366954003006,1040,682,2,603879,222,1.2053540527158586
520,341,1614488,341,6.5880160179344065,1560,1023,3,1334040,499,1.2102245809720849
520,341,2855728,599,6.583206167446505,2080,1364,4,2357581,880,1.211295815499022
520,341,4451608,933,6.575633627978361,2600,1705,5,3670608,1378,1.2127712902058732
521,341,45494,6,5.242090981850629,52,34,0.1,30133,9,1.5097733382006437
521,341,50798,8,5.606211297879416,104,68,0.2,36025,12,1.4100763358778625
521,341,59638,10,5.956073008651205,156,102,0.30000000000000004,44911,15,1.3279152100821625
521,341,72014,12,6.216955980665357,208,136,0.4,56566,19,1.273096913340169
521,341,87926,16,6.410999979966862,260,170,0.5,71043,25,1.2376448066663852
521,341,107374,20,6.530846792669368,312,204,0.6000000000000001,88352,32,1.2152978993118435
521,341,130358,25,6.611311857189699,364,238,0.7000000000000001,108642,39,1.1998858636623038
521,341,156878,30,6.646874882934388,416,272,0.8,131394,47,1.1939510175502686
521,341,186934,38,6.688293251189887,468,306,0.9,157448,57,1.187274528733296
521,341,221387,41,6.67317913536089,521,341,1.0,185782,66,1.1916493524668699
521,341,754370,162,6.685810441005397,1042,682,2,633231,235,1.1913030158030797
521,341,1642675,358,6.649288402297539,1563,1023,3,1370353,517,1.1987239784201589
521,341,2886302,635,6.638865083881708,2084,1364,4,2403653,906,1.2007981185304202
521,341,4485251,999,6.626815929267566,2605,1705,5,3728043,1417,1.2031113911507996
521,341,45494,6,5.277155812183784,52,34,0.1,30354,10,1.49878105027344
521,341,50798,8,5.694137846003955,104,68,0.2,36596,12,1.3880751994753524
