input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,177320,36,6.378653229376181,520,341,1,0,0,1.2452596983061321
520,341,354640,73,6.846909214898659,520,341,1,0,0,1.1618969612580883
520,341,531960,111,6.84609733304395,520,341,1,0,0,1.1627007284911512
520,341,709280,153,6.852972108937824,520,341,1,0,0,1.1621425446609244
521,341,886941,186,6.8541373132548475,521,341,1,0,0,1.1624116338015618
521,341,1064602,228,7.010930595256074,521,341,1,0,0,1.135265463510764
528,341,1244650,263,6.952275791821539,528,341,1,0,0,1.145339870507993
528,341,1424698,304,6.938664160629924,528,341,1,0,0,1.1474906510027167
527,341,1604405,342,6.891971342531918,527,341,1,0,0,1.1559180456371507
527,341,1784112,387,6.867314622513738,527,341,1,0,0,1.1602614586510467
527,341,1963819,421,6.913953238788374,527,341,1,0,0,1.15225820003497
519,396,2169343,464,6.96703130353583,519,396,1,0,0,1.142992100428304
519,341,2346322,508,6.991482468031782,519,341,1,0,0,1.1388967226506925
519,341,2523301,558,6.996013024920179,519,341,1,0,0,1.1381596129185327
520,341,2700621,612,6.98241786061486,520,341,1,0,0,1.1404124556766602
520,341,2877941,635,6.982366429658655,520,341,1,0,0,1.1403774814021146
520,341,3055261,693,7.03784029271985,520,341,1,0,0,1.1315710234417042
