input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,225179,49,6.5122732983052325,520,341,1,0,0,1.2201318862332229
520,341,450354,107,6.801223848884107,520,341,1,0,0,1.1693709834469328
520,341,646282,152,6.809019504764824,520,341,1,0,0,1.1690661862200828
520,341,842210,200,6.827259713179168,520,341,1,0,0,1.1656966484197122
521,341,1063597,253,6.831076988510068,521,341,1,0,0,1.1654043973430983
521,341,1284984,316,6.963640424582782,521,341,1,0,0,1.1431865677019528
528,341,1508758,374,6.91450777058585,528,341,1,0,0,1.1517289392165155
528,341,1732532,439,6.900050578066017,528,341,1,0,0,1.1542326077180594
527,341,1955965,473,6.859739203312561,527,341,1,0,0,1.161242195166985
527,341,2179397,521,6.836624588675334,527,341,1,0,0,1.165332045766375
527,341,2406963,553,6.859850210401585,527,341,1,0,0,1.1612491894770969
519,396,2632718,604,6.902615723010355,519,396,1,0,0,1.1542523387841392
519,341,2857555,670,6.92075889207064,519,341,1,0,0,1.1514960900257172
519,341,3082392,743,6.927197248296246,519,341,1,0,0,1.1505652804902085
520,341,3307572,809,6.9168025640302595,520,341,1,0,0,1.1522192147313637
520,341,3505123,837,6.9242407164567625,520,341,1,0,0,1.1507619221153578
520,341,3701051,867,6.975897765118918,520,341,1,0,0,1.1424044117624363
