input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
0,0,47859,4,5.047739606321347,0,0,0,30444,10,1.5720338983050848
0,0,95714,9,5.047915116811887,0,0,0,60769,21,1.575046487518307
0,0,114322,11,5.075714802857039,0,0,0,73017,26,1.5656901817384992
0,0,132930,13,5.09198482171707,0,0,0,85237,28,1.5595340051855415
0,0,176656,16,5.081371443688876,0,0,0,112943,35,1.5641164127037532
0,0,220382,20,5.07487859260486,0,0,0,140644,42,1.5669491766445778
0,0,264108,24,5.070463232714219,0,0,0,168341,54,1.5688869615839278
0,0,307834,27,5.067294621811643,0,0,0,196045,60,1.5702211227014207
0,0,351560,31,5.064821190165913,0,0,0,223752,76,1.5712038328149023
0,0,395285,37,5.062985272668121,0,0,0,251465,81,1.5719284989958842
0,0,443144,42,5.061054247423825,0,0,0,281783,91,1.5726427783081307
0,0,463375,44,5.067383964161059,0,0,0,295076,96,1.570358145020266
0,0,511233,47,5.065485666932685,0,0,0,325396,105,1.571110277938266
0,0,559091,53,5.063722117572159,0,0,0,355703,114,1.5717916351562962
0,0,606951,56,5.062245299692982,0,0,0,386018,124,1.5723385956095313
0,0,627182,58,5.06695448935948,0,0,0,399322,127,1.57061719614747
0,0,645790,61,5.070857481266341,0,0,0,411554,136,1.5691500993794254
