input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,225179,47,6.5122732983052325,520,341,1.0,184553,71,1.2201318862332229
520,341,225175,45,6.494054244740043,520,341,1.0,183914,71,1.224349424187392
520,341,195928,38,6.459794058206149,520,341,1.0,159259,60,1.2302475841239742
520,341,195928,39,6.6282424426140025,520,341,1.0,163241,62,1.2002376853854118
521,341,221387,44,6.67317913536089,521,341,1.0,185782,72,1.1916493524668699
521,341,221387,48,6.948224242281994,521,341,1.0,193487,74,1.1441957340803257
528,341,223774,45,6.452580755440265,528,341,1.0,181575,70,1.232405342145119
528,341,223774,45,6.6007420889459265,528,341,1.0,185839,71,1.2041283046077518
527,341,223433,44,6.4058683127153975,527,341,1.0,180146,68,1.2402884327156862
527,341,223432,45,6.536479496564017,527,341,1.0,183814,69,1.2155330932355533
527,341,227566,46,6.199577012811492,527,341,1.0,177608,69,1.2812823746678077
519,396,225755,46,6.350234651259317,519,396,1.0,180303,70,1.2520867650565992
519,341,224837,43,6.675047869372913,519,341,1.0,188919,70,1.190123809675046
519,341,224837,46,6.789694790534418,519,341,1.0,191971,73,1.171202942111048
520,341,225180,46,6.537360324301022,520,341,1.0,185078,70,1.2166762121916166
520,341,197551,38,6.71491026781408,520,341,1.0,166726,64,1.1848841812314816
520,341,195928,40,6.825437556558705,520,341,1.0,168101,65,1.1655373852624316
