input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,49627,7,5.216515839683687,52,34,0.1,32707,12,1.5173204512795426
520,341,54931,9,5.533405806288786,104,68,0.2,38438,14,1.4290805973255631
520,341,63771,12,5.864089294965753,156,102,0.30000000000000004,47256,18,1.3494794311833418
520,341,76147,15,6.1060600847376865,208,136,0.4,58722,23,1.2967371683525766
520,341,92059,20,6.27246239296733,260,170,0.5,72753,30,1.2653636276167306
520,341,111507,23,6.388595707037356,312,204,0.6000000000000001,89716,36,1.2428886709171163
520,341,134491,30,6.463467416587123,364,238,0.7000000000000001,109474,44,1.2285200138845753
520,341,161011,35,6.506348556793883,416,272,0.8,131924,53,1.2204830053667264
520,341,191067,42,6.530519281827371,468,306,0.9,157081,64,1.2163597125050134
520,341,225179,49,6.5122732983052325,520,341,1.0,184553,73,1.2201318862332229
520,341,757139,175,6.4999073221852814,1040,682,2,618546,255,1.2240625596156147
520,341,1643739,390,6.460214025387321,1560,1023,3,1333514,559,1.2326372276556528
520,341,2884979,689,6.448797154569084,2080,1364,4,2336180,981,1.2349129775959045
520,341,4480859,1069,6.435136147860306,2600,1705,5,3620216,1534,1.23773249993923
520,341,6431379,1527,6.4318935822265635,3120,2046,6,5193262,2118,1.2384083452750891
520,341,8736539,1996,6.426049238340475,3640,2387,7,7047831,2778,1.239606766961353
520,341,11396339,2609,6.4248725716204715,4160,2728,8,9191839,3639,1.239832312119479
520,341,14410779,3282,6.422355770167982,4680,3069,9,11618275,4603,1.2403544416017007
520,341,17779859,4064,6.421909743850014,5200,3410,10,14333628,5686,1.2404297781413052
520,341,49623,6,5.220382109382158,52,34,0.1,32703,11,1.5173837262636456
520,341,54927,9,5.547603644485126,104,68,0.2,38553,14,1.424714030036573
520,341,63767,11,5.855733995791527,156,102,0.30000000000000004,47228,17,1.350194799695096
520,341,76143,15,6.099939180895832,208,136,0.4,58685,22,1.2974865808980147
520,341,92055,18,6.262385078483925,260,170,0.5,72713,27,1.2660047034230468
520,341,111503,22,6.3665778526830135,312,204,0.6000000000000001,89502,34,1.2458157359612076
520,341,134487,28,6.440538780941063,364,238,0.7000000000000001,109244,41,1.2310698985756654
520,341,161007,34,6.485719756367342,416,272,0.8,131478,50,1.2245927075252134
520,341,191063,41,6.503530693870022,468,306,0.9,156265,60,1.2226858221610726
520,341,225175,44,6.494054244740043,520,341,1.0,183914,69,1.224349424187392
520,341,757135,166,6.476756708782154,1040,682,2,616228,240,1.2286604957905192
520,341,1643735,369,6.436313801915162,1560,1023,3,1329739,523,1.2361335570363807
520,341,2884975,658,6.421845056411932,2080,1364,4,2328931,914,1.2387550339619335
520,341,4480855,1016,6.408808732330016,2600,1705,5,3609914,1424,1.2412636422917553
520,341,6431375,1452,6.404256253246214,3120,2046,6,5177785,2049,1.242109318946229
