input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,177320,37,6.378653229376181,520,341,1,142396,56,1.2452596983061321
520,341,177320,35,6.351926008069017,520,341,1,141899,56,1.2496212094517931
520,341,177320,35,6.348664710060305,520,341,1,141690,56,1.2514644646764062
520,341,177320,35,6.530428758336148,520,341,1,145577,57,1.218049554531279
521,341,177661,34,6.570487599728141,521,341,1,146738,56,1.210736141967316
521,341,177661,37,6.848004627939192,521,341,1,153129,60,1.1602047946502623
528,341,180048,36,6.297269285509751,528,341,1,142876,55,1.2601696576051962
528,341,180048,35,6.519046961017139,528,341,1,147578,57,1.2200192440607678
527,341,179707,35,6.280672593080716,527,341,1,142148,54,1.2642246109688493
527,341,179707,36,6.506090877240551,527,341,1,147284,58,1.220139322669129
527,341,179707,36,6.047892376526753,527,341,1,137007,53,1.3116629077346413
519,396,205524,43,6.278815628371945,519,396,1,162253,64,1.2666884433569796
519,341,176979,34,6.598756251754562,519,341,1,147014,55,1.203824125593481
519,341,176979,37,6.736366607942987,519,341,1,149925,60,1.1804502251125564
520,341,177320,35,6.386729428753731,520,341,1,142380,55,1.2453996347801657
520,341,177320,34,6.577698112987963,520,341,1,146579,59,1.2097230844800415
520,341,177320,37,6.690549406687939,520,341,1,149290,59,1.187755375443767
