input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
0,0,47859,4,5.047739606321347,0,0,0,30444,10,1.5720338983050848
0,0,47855,4,5.047708405622464,0,0,0,30434,10,1.57241900506013
0,0,18608,1,5.125216789116465,0,0,0,12083,4,1.5400148969626748
0,0,18608,1,5.124013753784344,0,0,0,12075,4,1.5410351966873705
0,0,43726,4,5.042468392791155,0,0,0,27784,9,1.5737834725021596
0,0,43726,4,5.044667689376561,0,0,0,27795,8,1.5731606404029501
0,0,43726,4,5.044895126757431,0,0,0,27799,8,1.5729342782114464
0,0,43726,4,5.045756485905431,0,0,0,27803,9,1.572707981153113
0,0,43726,4,5.045258360282538,0,0,0,27802,9,1.5727645493129991
0,0,43725,4,5.045997368917357,0,0,0,27807,9,1.5724457870320423
0,0,47859,4,5.0433759752870575,0,0,0,30414,10,1.573584533438548
0,0,20231,1,5.116279495342602,0,0,0,13109,4,1.5432908688687161
0,0,47858,4,5.045226067656368,0,0,0,30415,9,1.5734999178037152
0,0,47858,4,5.04308106110914,0,0,0,30405,9,1.5740174313435291
0,0,47860,4,5.043252947059541,0,0,0,30405,9,1.5740832099983555
0,0,20231,1,5.12022130657133,0,0,0,13115,4,1.5425848265345026
0,0,18608,1,5.118838441453557,0,0,0,12061,3,1.5428239781112678
